timeid,districtid,cases
2021-08-14,Saraikela-Kharsawan,4
2021-08-14,Simdega,5
2021-08-14,West Singhbhum,3
2021-08-14,Anantnag,39
2021-08-14,Bandipora,47
2021-08-14,Baramulla,73
2021-08-14,Budgam,82
2021-08-14,Doda,94
2021-08-14,Ganderbal,70
2021-08-14,Jammu,130
2021-08-14,Kathua,9
2021-08-14,Kishtwar,53
2021-08-14,Kulgam,38
2021-08-14,Kupwara,40
2021-08-14,Pulwama,38
2021-08-14,Punch,29
2021-08-14,Rajouri,64
2021-08-14,Ramban,10
2021-08-14,Reasi,96
2021-08-14,Samba,8
2021-08-14,Shopiyan,5
2021-08-14,Srinagar,326
2021-08-14,Udhampur,52
2021-08-14,Bagalkote,45
2021-08-14,Ballari,195
2021-08-14,Belagavi,443
2021-08-14,Bengaluru Rural,350
2021-08-14,Bengaluru Urban,8201
2021-08-14,Bidar,12
2021-08-14,Chamarajanagara,275
2021-08-14,Chikkaballapura,89
2021-08-14,Chikkamagaluru,1117
2021-08-14,Chitradurga,406
2021-08-14,Dakshina Kannada,3687
2021-08-14,Davanagere,184
2021-08-14,Dharwad,129
2021-08-14,Gadag,18
2021-08-14,Hassan,1345
2021-08-14,Haveri,25
2021-08-14,Kalaburagi,87
2021-08-14,Kodagu,719
2021-08-14,Kolar,227
2021-08-14,Koppal,57
2021-08-14,Mandya,403
2021-08-14,Mysuru,1127
2021-08-14,Other State,0
2021-08-14,Raichur,28
2021-08-14,Ramanagara,80
2021-08-14,Shivamogga,608
2021-08-14,Tumakuru,759
2021-08-14,Udupi,1519
2021-08-14,Uttara Kannada,548
2021-08-14,Vijayapura,27
2021-08-14,Yadgir,14
2021-08-14,Alappuzha,8481
2021-08-14,Ernakulam,27165
2021-08-14,Idukki,6801
2021-08-14,Kannur,8722
2021-08-14,Kasaragod,8244
2021-08-14,Kollam,4085
2021-08-14,Kottayam,8327
2021-08-14,Kozhikode,24046
2021-08-14,Malappuram,29685
2021-08-14,Palakkad,18527
2021-08-14,Pathanamthitta,8954
2021-08-14,Thiruvananthapuram,9153
2021-08-14,Thrissur,10470
2021-08-14,Wayanad,8104
2021-08-14,Kargil,20
2021-08-14,Leh,60
2021-08-14,Lakshadweep,81
2021-08-14,Ahmednagar,5424
2021-08-14,Akola,38
2021-08-14,Amravati,57
2021-08-14,Aurangabad,563
2021-08-14,Beed,1406
2021-08-14,Bhandara,10
2021-08-14,Buldhana,12
2021-08-14,Chandrapur,101
2021-08-14,Dhule,16
2021-08-14,Gadchiroli,62
2021-08-14,Gondia,10
2021-08-14,Hingoli,83
2021-08-14,Jalgaon,343
2021-08-14,Jalna,151
2021-08-14,Kolhapur,3941
2021-08-14,Latur,513
2021-08-14,Mumbai,5547
2021-08-14,Nagpur,281
2021-08-14,Nanded,58
2021-08-14,Nandurbar,3
2021-08-14,Nashik,1011
2021-08-14,Osmanabad,1142
2021-08-14,Other State,30
2021-08-14,Palghar,507
2021-08-14,Parbhani,59
2021-08-14,Pune,15060
2021-08-14,Raigad,1207
