Stateid,timeid,dose1,dose2
AR,57,32191.0,7263.0
AR,58,28718.0,9706.0
AR,59,27245.0,9099.0
AR,60,17836.0,14280.0
AR,61,11013.0,7987.0
AR,62,26396.0,191.0
AR,63,9292.0,198.0
AR,64,39729.0,330.0
AR,65,37188.0,429.0
AR,66,67181.0,593.0
AR,67,71623.0,1717.0
AR,68,64082.0,8122.0
AR,69,55752.0,22204.0
AR,70,37351.0,24789.0
AR,71,25971.0,22686.0
AR,72,17741.0,15395.0
AR,73,16958.0,8849.0
AR,74,12954.0,16353.0
AS,1,0.0,0.0
AS,2,0.0,0.0
AS,3,0.0,0.0
AS,4,0.0,0.0
AS,5,0.0,0.0
AS,6,0.0,0.0
AS,7,0.0,0.0
AS,8,0.0,0.0
AS,9,0.0,0.0
AS,10,0.0,0.0
AS,11,0.0,0.0
AS,12,0.0,0.0
AS,13,0.0,0.0
AS,14,0.0,0.0
AS,15,0.0,0.0
AS,16,0.0,0.0
AS,17,0.0,0.0
AS,18,0.0,0.0
AS,19,0.0,0.0
AS,20,0.0,0.0
AS,21,0.0,0.0
AS,22,0.0,0.0
AS,23,0.0,0.0
AS,24,0.0,0.0
AS,25,0.0,0.0
AS,26,0.0,0.0
AS,27,0.0,0.0
AS,28,0.0,0.0
AS,29,0.0,0.0
AS,30,0.0,0.0
AS,31,0.0,0.0
AS,32,0.0,0.0
AS,33,0.0,0.0
AS,34,0.0,0.0
AS,35,0.0,0.0
AS,36,0.0,0.0
AS,37,0.0,0.0
AS,38,0.0,0.0
AS,39,0.0,0.0
AS,40,0.0,0.0
AS,41,0.0,0.0
AS,42,0.0,0.0
AS,43,0.0,0.0
AS,44,401.0,0.0
AS,45,3660.0,0.0
AS,46,26512.0,0.0
AS,47,47925.0,0.0
AS,48,43552.0,2006.0
AS,49,31279.0,8584.0
AS,50,42047.0,17168.0
AS,51,148225.0,24810.0
AS,52,126257.0,31299.0
AS,53,87796.0,24516.0
AS,54,332813.0,33017.0
AS,55,140106.0,32003.0
AS,56,205557.0,76554.0
AS,57,59332.0,40762.0
AS,58,297490.0,122152.0
AS,59,427578.0,140664.0
AS,60,325788.0,103004.0
AS,61,285358.0,74338.0
AS,62,306857.0,46646.0
AS,63,308167.0,49656.0
AS,64,220749.0,20593.0
AS,65,374072.0,69556.0
AS,66,427672.0,138079.0
AS,67,1389486.0,127319.0
AS,68,643862.0,111854.0
AS,69,263231.0,50524.0
AS,70,671272.0,181569.0
AS,71,720674.0,184910.0
AS,72,751281.0,217665.0
AS,73,1480218.0,220949.0
AS,74,1240836.0,292703.0
BR,1,0.0,0.0
BR,2,0.0,0.0
BR,3,0.0,0.0
BR,4,0.0,0.0
BR,5,0.0,0.0
BR,6,0.0,0.0
BR,7,0.0,0.0
BR,8,0.0,0.0
BR,9,0.0,0.0
BR,10,0.0,0.0
BR,11,0.0,0.0
BR,12,0.0,0.0
BR,13,0.0,0.0
BR,14,0.0,0.0
BR,15,0.0,0.0
BR,16,0.0,0.0
BR,17,0.0,0.0
BR,18,0.0,0.0
BR,19,0.0,0.0
BR,20,0.0,0.0
BR,21,0.0,0.0
BR,22,0.0,0.0
BR,23,0.0,0.0
BR,24,0.0,0.0
BR,25,0.0,0.0
BR,26,0.0,0.0
BR,27,0.0,0.0
